,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594417,GSM1594417,43799,0.0,200800.02,1,0.26037648
GSM1594418,GSM1594418,43799,0.0,200445.38,10,0.5223157
GSM1594419,GSM1594419,43799,0.0,199060.25,6,0.4689826
GSM1594420,GSM1594420,43799,0.0,199346.28,0,0.35714415
GSM1594421,GSM1594421,43799,0.0,199989.06,0,0.42050025
GSM1594422,GSM1594422,43799,0.0,199741.67,5,0.381946
GSM1594423,GSM1594423,43799,0.0,199521.77,4,0.46051145
GSM1594424,GSM1594424,43799,0.0,201416.75,4,0.4404661
GSM1594425,GSM1594425,43799,0.0,201619.45,2,0.5359163
GSM1594426,GSM1594426,43799,0.0,199745.86,4,0.4920354
GSM1594427,GSM1594427,43799,0.0,202182.56,4,0.5107745
GSM1594428,GSM1594428,43799,0.0,203580.94,10,0.5318152
GSM1594429,GSM1594429,43799,0.0,202743.05,3,0.47036755
GSM1594430,GSM1594430,43799,0.0,199653.86,12,0.28613046
GSM1594431,GSM1594431,43799,0.0,200746.58,0,0.45446494
GSM1594432,GSM1594432,43799,0.0,200908.8,0,0.4240609
GSM1594433,GSM1594433,43799,0.0,201282.69,0,0.39414793
GSM1594434,GSM1594434,43799,0.0,202655.38,3,0.29044574
GSM1594435,GSM1594435,43799,0.0,203920.64,10,0.52514404
GSM1594436,GSM1594436,43799,0.0,202318.16,3,0.47659552
GSM1594437,GSM1594437,43799,0.0,202139.77,6,0.41851783
GSM1594438,GSM1594438,43799,0.0,202498.53,3,0.43927824
GSM1594439,GSM1594439,43799,0.0,202466.84,1,0.47799245
GSM1594440,GSM1594440,43799,0.0,201457.69,3,0.4772912
GSM1594441,GSM1594441,43799,0.0,202169.94,0,0.1682266
GSM1594442,GSM1594442,43799,0.0,203884.38,8,0.5265561
GSM1594443,GSM1594443,43799,0.0,202357.84,0,0.44203013
GSM1594444,GSM1594444,43799,0.0,203023.95,0,0.317688
GSM1594445,GSM1594445,43799,0.0,202303.78,0,0.39236918
GSM1594446,GSM1594446,43799,0.0,202742.7,4,0.50265217
GSM1594447,GSM1594447,43799,0.0,200767.22,12,0.5506405
GSM1594448,GSM1594448,43799,0.0,201247.11,12,0.55095583
GSM1594449,GSM1594449,43799,0.0,201386.7,3,0.47535783
GSM1594450,GSM1594450,43799,0.0,200605.77,6,0.3911553
GSM1594451,GSM1594451,43799,0.0,199728.7,0,0.41453445
GSM1594452,GSM1594452,43799,0.0,204353.89,3,0.2523872
GSM1594453,GSM1594453,43799,0.0,205978.52,12,0.54618186
GSM1594454,GSM1594454,43799,0.0,201353.95,0,0.4109725
GSM1594455,GSM1594455,43799,0.0,201633.66,6,0.28384188
GSM1594456,GSM1594456,43799,0.0,201457.4,12,0.15042594
GSM1594457,GSM1594457,43799,0.0,202334.17,3,0.36901718
GSM1594458,GSM1594458,43799,0.0,203527.34,3,0.47624394
GSM1594459,GSM1594459,43799,0.0,203491.95,10,0.43837917
GSM1594460,GSM1594460,43799,0.0,202982.75,1,0.3888442
GSM1594461,GSM1594461,43799,0.0,200530.89,10,0.45708242
GSM1594462,GSM1594462,43799,0.0,202853.2,3,0.519072
GSM1594463,GSM1594463,43799,0.0,200563.95,1,0.47690406
GSM1594464,GSM1594464,43799,0.0,200812.31,12,0.22331466
GSM1594465,GSM1594465,43799,0.0,202361.17,10,0.51093674
GSM1594466,GSM1594466,43799,0.0,202529.62,7,0.49308607
GSM1594467,GSM1594467,43799,0.0,203307.66,3,0.52404296
GSM1594468,GSM1594468,43799,0.0,203344.62,3,0.2558374
GSM1594469,GSM1594469,43799,0.0,201586.92,6,0.45586565
GSM1594470,GSM1594470,43799,0.0,200851.48,12,0.5490143
GSM1594471,GSM1594471,43799,0.0,203475.17,3,0.390381
GSM1594472,GSM1594472,43799,0.0,202755.4,10,0.52402407
GSM1594473,GSM1594473,43799,0.0,201136.88,3,0.19758973
GSM1594474,GSM1594474,43799,0.0,201117.48,6,0.46555862
GSM1594475,GSM1594475,43799,0.0,202341.31,6,0.34651598
GSM1594476,GSM1594476,43799,0.0,201593.33,6,0.36491317
GSM1594477,GSM1594477,43799,0.0,202494.28,6,0.38179854
GSM1594478,GSM1594478,43799,0.0,200982.56,0,0.24934682
GSM1594479,GSM1594479,43799,0.0,202862.92,1,0.22919518
GSM1594480,GSM1594480,43799,0.0,200190.47,3,0.44927016
GSM1594481,GSM1594481,43799,0.0,203130.75,10,0.5242355
GSM1594482,GSM1594482,43799,0.0,202657.92,3,0.47674105
GSM1594483,GSM1594483,43799,0.0,199936.25,0,0.372099
GSM1594484,GSM1594484,43799,0.0,199818.83,12,0.5470935
GSM1594485,GSM1594485,43799,0.0,200511.55,0,0.39896935
GSM1594486,GSM1594486,43799,0.0,203437.98,10,0.4929668
GSM1594487,GSM1594487,43799,0.0,202621.33,0,0.38620907
GSM1594488,GSM1594488,43799,0.0,202184.95,0,0.27206475
GSM1594489,GSM1594489,43799,0.0,200398.92,6,0.44013712
GSM1594490,GSM1594490,43799,0.0,201332.97,12,0.5463329
GSM1594491,GSM1594491,43799,0.0,201687.17,6,0.39368814
GSM1594492,GSM1594492,43799,0.0,201430.08,3,0.43646818
GSM1594493,GSM1594493,43799,0.0,202003.48,12,0.5521687
